"code_commune_insee","nom_de_la_commune","code_postal","latitude","longitude"
"26010","ANNEYRON","26140","45.27178172675811","4.889193905460484"
"26011","AOUSTE SUR SYE","26400","44.7026842169588","5.060439316602073"
"26012","ARNAYON","26470","44.496304332449995","5.316501617763544"
"26013","ARPAVON","26110","44.37061082200537","5.273866254253742"
"26014","ARTHEMONAY","26260","45.141138780878734","5.063234714189264"
"26015","AUBENASSON","26340","44.67817617762148","5.14476160529622"
"26016","AUBRES","26110","44.39249385353124","5.155069967448457"
"26017","AUCELON","26340","44.6157652610588","5.3421853353217115"
"26018","AULAN","26570","44.22885886954577","5.4196529762731185"
"26019","AUREL","26340","44.693594427748906","5.308099214044622"
"26020","LA REPARA AURIPLES","26400","44.65356126235886","4.993253873199459"
"26021","AUTICHAMP","26400","44.67852398247638","4.972154554600378"
"26022","BALLONS","26560","44.24759112279882","5.6477887432319"
"26023","BARBIERES","26300","44.94084772213799","5.159711988334066"
"26024","BARCELONNE","26120","44.864930717861725","5.053450489936674"
"26025","BARNAVE","26310","44.659184282781354","5.374460246122423"
"26026","BARRET DE LIOURE","26570","44.17682027560397","5.519531377221226"
"26027","BARSAC","26150","44.72749638318021","5.305605232303254"
"26028","BATHERNAY","26260","45.18360966193627","4.997444999523999"
"26030","LA BATIE DES FONDS","26310","44.51685774869196","5.6331320647006375"
"26031","LA BATIE ROLLAND","26160","44.55820797898751","4.869103810136545"
"26032","LA BAUME CORNILLANE","26120","44.831561314072374","5.046175306433483"
"26033","LA BAUME DE TRANSIT","26790","44.3244331516307","4.8667423849110865"
"26034","LA BAUME D HOSTUN","26730","45.059789820158485","5.218990924671206"
"26035","BEAUFORT SUR GERVANNE","26400","44.777182928755245","5.1550596234627495"
"26036","BEAUMONT EN DIOIS","26310","44.56342719312186","5.46965828352565"
"26037","BEAUMONT LES VALENCE","26760","44.87426724782163","4.947656616355697"
"26038","BEAUMONT MONTEUX","26600","45.03049775559059","4.919412467855275"
"26039","BEAUREGARD BARET","26300","45.00832352688852","5.174786586089336"
"26040","BEAURIERES","26310","44.556955417189165","5.555655111253625"
"26041","BEAUSEMBLANT","26240","45.21383664598295","4.843815429611351"
"26042","BEAUVALLON","26800","44.85712418779187","4.9027247860943035"
"26043","BEAUVOISIN","26170","44.30461964814185","5.215112744754055"
"26045","LA BEGUDE DE MAZENC","26160","44.551310833749284","4.924481998355191"
"26046","BELLECOMBE TARENDOL","26110","44.35685585466977","5.358095113006459"
"26047","BELLEGARDE EN DIOIS","26470","44.539351631342775","5.43826491000979"
"26048","BENIVAY OLLON","26170","44.31066235402908","5.19083571111321"
"26049","BESAYES","26300","44.96852067730058","5.09011553928229"
"26050","BESIGNAN","26110","44.32138042894866","5.326474472061465"
"26051","BEZAUDUN SUR BINE","26460","44.61110179887477","5.177835227551711"
"26052","BONLIEU SUR ROUBION","26160","44.58705421797115","4.868087205116863"
"26054","BOUCHET","26790","44.29674770338819","4.883485164095671"
"26055","BOULC","26410","44.63602571851471","5.5849239615818655"
"26056","BOURDEAUX","26460","44.579333254062234","5.166446517290811"
"26057","BOURG DE PEAGE","26300","45.01893006892601","5.049227106831227"
"26058","BOURG LES VALENCE","26500","44.96365025106323","4.8899921383538985"
"26059","BOUVANTE","26190","44.93272474163327","5.2994350203197715"
"26060","BOUVIERES","26460","44.520036500755594","5.221735606630096"
"26061","BREN","26260","45.14244820202077","4.940723140828725"
"26062","BRETTE","26340","44.58743089045966","5.325399687093973"
"26063","BUIS LES BARONNIES","26170","44.27137010458998","5.281136673839801"
"26064","CHABEUIL","26120","44.90881531493402","5.003776784410818"
"26065","CHABRILLAN","26400","44.715194681423796","4.962147001011077"
"26066","LE CHAFFAL","26190","44.87278140152019","5.181236096571709"
"26067","CHALANCON","26470","44.5262675942225","5.332886792379751"
"26068","LE CHALON","26350","45.15408209564287","5.085206200338236"
"26069","CHAMALOC","26150","44.81351940686601","5.386996674333469"
"26070","CHAMARET","26230","44.38963940084527","4.873295417486881"
"26071","CHANOS CURSON","26600","45.0579043239054","4.916577682833104"
"26072","CHANTEMERLE LES BLES","26600","45.122213262551284","4.889724466513101"
"26073","CHANTEMERLE LES GRIGNAN","26230","44.404845137132185","4.834096761134822"
"26074","LA CHAPELLE EN VERCORS","26420","44.96687628788595","5.425383496793419"
"26075","LA CHARCE","26470","44.46984768063706","5.441955127012783"
"26076","CHARENS","26310","44.54324297836618","5.509619203094466"
"26077","CHARMES SUR L HERBASSE","26260","45.159057547241616","5.0157139521747975"
"26078","CHAROLS","26450","44.58870061169773","4.9544162225644826"
"26079","CHARPEY","26300","44.9440106150694","5.07583428571773"
"26080","CHASTEL ARNAUD","26340","44.65975739529388","5.212341269125299"
"26081","CHATEAUDOUBLE","26120","44.90430684936947","5.107388464137333"
"26082","CHATEAUNEUF DE BORDETTE","26110","44.336831788106856","5.16530103806186"
"26083","CHATEAUNEUF DE GALAURE","26330","45.23371119854644","4.963754962838793"
"26084","CHATEAUNEUF SUR ISERE","26300","45.00930851936879","4.952493894239991"
"26085","CHATEAUNEUF DU RHONE","26780","44.50282056733481","4.732330847097256"
"26086","CHATILLON EN DIOIS","26410","44.729903950053014","5.536557999711405"
"26087","CHATILLON ST JEAN","26750","45.09836040370851","5.137097913923618"
"26088","CHATUZANGE LE GOUBET","26300","45.00683278410604","5.09734874921877"
"26089","CHAUDEBONNE","26110","44.47480689721813","5.236238022642371"
"26090","LA CHAUDIERE","26340","44.629921712612145","5.228313170706636"
"26091","CHAUVAC LAUX MONTAUX","26510","44.323368510506114","5.538823542833163"
"26092","CHAVANNES","26260","45.10496030517086","4.923005988418762"
"26093","CLANSAYES","26130","44.376272545839285","4.808236580323589"
"26094","CLAVEYSON","26240","45.173616030263304","4.93620125744159"
"26095","CLEON D ANDRAN","26450","44.61075112863497","4.930254008015922"
