date,gazole,sp95,e10,sp98,e85,gplc
2026-04-13,2.293,2.028,1.989,2.075,0.870,1.063
2026-04-14,2.295,2.033,1.995,2.076,0.876,1.068
2026-04-15,2.274,2.037,1.990,2.076,0.874,1.077
2026-04-16,2.245,2.022,1.984,2.064,0.865,1.075
2026-04-17,2.231,2.022,1.981,2.068,0.865,1.085
2026-04-18,2.182,2.015,1.955,2.048,0.868,1.080
2026-04-19,2.156,2.018,1.954,2.041,0.878,1.086
2026-04-20,2.179,2.014,1.963,2.056,0.860,1.082
2026-04-21,2.164,2.004,1.968,2.053,0.863,1.084
2026-04-22,2.159,2.008,1.974,2.054,0.863,1.085
2026-04-23,2.176,2.011,1.982,2.059,0.867,1.085
2026-04-24,2.179,2.021,1.989,2.068,0.865,1.087
2026-04-25,2.186,2.019,1.994,2.064,0.869,1.089
2026-04-26,2.200,2.015,1.996,2.055,0.876,1.092
2026-04-27,2.187,2.032,1.999,2.077,0.865,1.089
2026-04-28,2.201,2.040,2.007,2.083,0.868,1.093
2026-04-29,2.201,2.043,2.010,2.084,0.869,1.093
2026-04-30,2.207,2.051,2.018,2.095,0.867,1.092
2026-05-01,2.155,2.038,2.012,2.052,0.886,1.083
2026-05-02,2.157,2.059,2.019,2.090,0.862,1.085
2026-05-03,2.201,2.058,2.022,2.112,0.853,1.073
2026-05-04,2.225,2.065,2.03,2.119,0.852,1.077
